GID,predOf,DMCg,logFSY,logFRY,PA,StC,Anthractnose,ManchaBranca,ManchaParda,QueimaFolhas
Manzhitil?,GEBV,0.945872936,0.120815879,-0.06644671,0.699200571,0.274467683,0,0.033718608,-0.010082559,-0.001520054
Maragojipe,GEBV,-0.56894274,-0.059849274,-0.336571514,-0.065101841,-1.56460705,0,0.099271301,-0.049167097,-0.006518631
Nid-1,GEBV,1.132026179,0.200604455,-0.078796129,-0.572899454,0.522790148,0,0.045483058,-0.06096211,-0.004919828
Nid-2,GEBV,-0.732843513,-0.027912233,-0.131260024,0.399648761,0.095833067,0,0.02562291,-0.001523025,-0.000255798
Nid-3,GEBV,-2.249072184,-0.093914666,-0.278617943,0.179966165,-0.512788162,0,-0.022511053,-0.030692694,-0.001276546
Nid-4,GEBV,-1.014082058,-0.041996437,-0.171972299,0.338150513,-0.001389628,0,0.031646697,0.008936393,0.000720833
Nid-5,GEBV,-0.898026034,-0.289502568,-0.343693272,0.150434916,0.036684376,0,-0.02265746,-0.053877509,-0.004251355
Pampinha,GEBV,-2.409788498,-0.390828929,-0.18749059,-0.13676298,-0.349024609,0,0.079133841,-0.06104093,-0.007700008
Pao-do-Chile-PI,GEBV,-1.176410551,-0.325295327,-0.230362649,-0.219388621,-0.332978435,0,-0.087231952,-0.032030953,0.001464106
Pao-do-Chile-SM,GEBV,-1.099020878,-0.17333122,-0.083398448,-0.561190194,0.15165483,0,-0.009118892,-0.043299787,-0.001371605
Pao-do-China,GEBV,-0.902614111,0.152674187,-0.006922995,-0.763971348,-1.477571778,0,-0.030567939,-0.111046787,-0.013358988
Platina,GEBV,0.226307002,-0.40044382,-0.240470644,0.09805446,0.044494485,0,0.096097892,-0.007491914,-0.000991632
Racha-terra,GEBV,-0.917125784,-0.191018724,0.082852076,-0.195578472,0.144697887,0,0.024621192,-0.047221572,-0.003571998
Rangel-Fadel,GEBV,-1.448392239,-0.190047074,0.003387194,-0.121050132,-0.874493913,0,0.006900762,-0.020222757,-0.001190201
Retori,GEBV,0.868913838,0.225587558,-0.060962993,-0.460363056,0.541949775,0,0.043864913,-0.057164263,-0.004494562
Rosinha,GEBV,-3.090544698,-0.287947566,-0.224967947,-0.433564406,-1.096914436,0,-0.043021664,-0.043429608,-0.001252798
Roxinha-SM,GEBV,-1.270167886,-0.25459271,-0.060923387,0.14153961,-0.132394945,0,0.106565215,-0.031524413,-0.003060621
Roxona,GEBV,-1.406025045,0.016546032,-0.141823325,0.146888305,0.718619998,0,-0.009026413,-0.066647198,-0.006471623
RR0065,GEBV,1.144381881,0.143956318,0.101263489,0.403744905,-0.217985458,0,0.078019035,-0.063211098,-0.005540609
Santa-Rita-Sapucaia,GEBV,-2.124717937,-0.249083729,0.133600886,0.302037289,-1.429534693,0,0.038368837,0.044810078,0.005597053
Sao-Francisco-de-Paula,GEBV,-0.903561347,-0.22627363,-0.185957884,-0.497721118,-0.035070819,0,0.031060813,-0.000342596,-0.001540279
SE-08,GEBV,-1.796926261,-0.370489173,-0.064022139,0.399130498,-0.349454937,0,-0.026073695,-0.052454846,-0.004886511
SE-09,GEBV,0.613846068,-0.439855419,-0.266352094,0.60171924,-0.290750889,0,-0.044698384,-0.000772689,-0.00121869
BGM-2355,GEBV,2.426952181,-0.547969327,-0.435643034,0.920808883,-1.211127772,0,0.014561107,-0.021179291,-0.002478534
BGM-2356,GEBV,0.155644074,-0.243097436,-0.19850259,-0.783825492,1.924629938,0,0.114986586,0.019049877,-0.001871114
BGM-2357,GEBV,-1.634991098,-0.250178436,-0.277136382,0.766231416,-0.109998058,0,0.038327996,-0.007257369,-0.005058253
Secundina,GEBV,2.174575348,-0.477821969,-0.05932401,1.370525313,-0.108663237,0,-0.030729877,-0.006184631,-0.000795093
Tailandesa,GEBV,1.450193943,-0.375229857,-0.117489106,0.107829302,-0.312639464,0,-0.010746672,-0.015994766,-0.003347333
Uberlandia-2,GEBV,-0.966246198,-0.611858874,-0.36640589,0.179638468,-1.430712668,0,0.023896507,-0.040010388,-0.002237035
Uberlandia-3,GEBV,-2.018512397,0.020849442,-0.33674016,-0.670209264,-1.152921243,0,0.077114689,0.010106812,-0.00050685
Vassourinha-branca,GEBV,-1.880276317,-0.48968616,-0.287942107,-0.113161527,-1.385829686,0,0.011663077,-0.038488236,-0.001753805
Vassourinha(CCAufes),GEBV,-0.585804096,-0.011239349,0.211058713,-0.508071352,-0.275949637,0,0.014023797,0.033547136,0.002243555
01-Domingos-Martins,GEBV,-2.453330848,-0.401053866,-0.221368224,-0.185323343,-0.393345823,0,0.069420762,-0.057892018,-0.007153569
03-DM,GEBV,-0.609022368,-0.273443081,-0.173787599,0.793245546,-0.822879911,0,0.093790911,0.009856181,-0.000359471
04-UFES,GEBV,-1.053722813,-0.224775488,0.0401833,-0.247345062,0.14411618,0,0.02971201,-0.046792764,-0.003329224
05-DM-so-fritar,GEBV,-1.5361703,-0.240108094,-0.102945986,0.734194595,-0.675466178,0,-0.023489211,-0.00101038,0.000762549
05-Macaxeira,GEBV,-1.020196965,-0.026601294,-0.335836155,0.100479096,0.201578687,0,0.014140589,-0.013228646,-0.001827148
10-DM,GEBV,-1.452884677,-0.288914259,-0.376502697,0.176678581,-0.40490949,0,0.043714641,-0.019424829,0.000165109
11-Conquista-2,GEBV,-1.779507566,-0.096632885,-0.157308621,0.716685566,0.349651847,0,-0.087611136,-0.061881011,-0.004920435
12-DM,GEBV,-1.412485516,-0.190324295,-0.224503883,0.276647183,-0.622572267,0,0.013646328,-0.006190598,0.002209129
BR-11-24-156,GEBV,0.33979964,0.016138392,0.247613556,-0.525730687,-0.943354576,0,0.020646299,0.048770848,0.005517163
BR-11-34-41,GEBV,-2.23987926,0.372094084,0.647885111,-0.934686036,-0.251169522,0,0.013638082,0.041031033,0.004210996
BR-11-34-45,GEBV,0.160068192,0.28829019,0.607661512,-0.655095396,-0.179803206,0,-0.029181957,0.019774773,-0.000113818
BR-11-34-64,GEBV,-2.345612597,0.208697849,0.432844637,-0.754144622,-0.506996528,0,0.020502295,0.039851317,0.002415284
BR-11-34-69,GEBV,-2.234864433,0.357205843,0.680753386,-0.928919562,-0.552193821,0,0.0236554,0.048616917,0.005073313
2019g-04-01,GEBV,-0.518588426,-0.142621045,-0.159171325,0.144200058,0.033306512,0,-0.024315836,-0.030620517,-0.008586215
